x,y,kelas
100,66,4
45,49,1
69,49,4
86,127,4
120,69,2
73,104,2
73,38,1
124,114,3
77,107,3
31,41,1
105,61,2
59,125,4
139,95,1
59,52,2
113,95,1
97,59,3
34,71,4
41,52,3
58,132,2
40,58,4
100,80,4
74,86,1
106,139,2
134,84,4
119,115,4
96,76,1
130,39,4
50,123,3
51,102,3
58,45,1
126,60,3
75,57,4
127,54,4
47,91,4
42,139,2
109,116,2
40,66,3
121,39,2
111,34,4
126,59,2
73,59,2
60,69,1
62,91,1
130,129,2
130,107,4
50,103,2
50,64,1
115,125,1
112,109,4
137,123,4
73,43,3
45,45,4
72,52,4
67,48,4
67,103,3
72,99,2
73,56,3
121,40,3
98,94,1
124,81,4
74,43,3
104,137,1
94,65,1
105,74,3
124,68,4
115,53,3
131,126,2
73,42,1
90,85,3
63,103,4
139,140,4
47,112,2
75,127,4
58,43,2
46,94,1
51,41,1
71,97,1
102,98,1
80,32,2
80,65,2
76,80,1
42,135,2
37,68,4
122,84,4
134,66,3
130,45,3
84,72,3
108,131,4
110,52,2
85,138,1
81,124,4
47,95,1
136,85,2
73,97,4
82,73,2
45,54,3
63,40,3
71,55,4
65,101,3
44,32,3
